Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,06-Feb-2026,24-Feb-2026,PE,25800.00,325.00,373.95,260.75,266.40,269.95,266.40,42709.00,724988.53,8758.60,1502930.00,-194935.00,25693.70
NIFTY,05-Feb-2026,24-Feb-2026,PE,25800.00,240.00,329.00,240.00,290.10,293.75,290.10,53063.00,899960.91,10094.40,1697865.00,-208975.00,25642.80
NIFTY,04-Feb-2026,24-Feb-2026,PE,25800.00,300.00,330.00,215.00,243.95,253.10,243.95,84039.00,1423353.21,14019.18,1906840.00,910.00,25776.00
NIFTY,03-Feb-2026,24-Feb-2026,PE,25800.00,315.00,379.05,245.00,281.05,279.60,281.05,127783.00,2167542.72,24621.81,1905930.00,1387945.00,25727.55
NIFTY,02-Feb-2026,24-Feb-2026,PE,25800.00,1050.05,1086.40,721.65,731.55,729.75,731.55,2482.00,43079.77,1456.63,517985.00,-10985.00,25088.40
NIFTY,01-Feb-2026,24-Feb-2026,PE,25800.00,556.70,1200.05,491.50,1003.85,1065.40,1003.85,6431.00,110951.88,3104.01,528970.00,-53950.00,24825.45
NIFTY,30-Jan-2026,24-Feb-2026,PE,25800.00,569.00,660.30,527.20,556.80,553.25,556.80,4491.00,77018.66,1704.59,582920.00,13065.00,25320.65
NIFTY,29-Jan-2026,24-Feb-2026,PE,25800.00,598.00,680.00,466.35,479.55,481.00,479.55,4027.00,68963.24,1430.45,569855.00,-520.00,25418.90
NIFTY,28-Jan-2026,24-Feb-2026,PE,25800.00,563.55,654.05,530.25,540.85,543.60,540.85,2683.00,46001.58,1007.67,570375.00,-18330.00,25342.75
NIFTY,27-Jan-2026,24-Feb-2026,PE,25800.00,695.50,848.70,575.50,623.50,581.80,623.50,3888.00,66990.05,1788.29,588705.00,39975.00,25175.40
NIFTY,23-Jan-2026,24-Feb-2026,PE,25800.00,565.05,771.15,549.45,749.30,750.00,749.30,2946.00,50727.04,1322.62,548730.00,11180.00,25048.65
NIFTY,22-Jan-2026,24-Feb-2026,PE,25800.00,565.05,673.45,487.80,560.25,534.25,560.25,3117.00,53422.84,1150.75,537550.00,5070.00,25289.90
NIFTY,21-Jan-2026,24-Feb-2026,PE,25800.00,625.00,850.35,537.65,670.50,670.30,670.50,6659.00,114532.24,2860.81,532480.00,-62920.00,25157.50
NIFTY,20-Jan-2026,24-Feb-2026,PE,25800.00,406.95,629.85,393.70,609.55,588.45,609.55,7136.00,122000.54,2329.82,595400.00,51350.00,25232.50
NIFTY,19-Jan-2026,24-Feb-2026,PE,25800.00,336.90,436.50,336.90,394.70,410.05,394.70,9620.00,163841.81,2514.41,544050.00,54080.00,25585.50
NIFTY,16-Jan-2026,24-Feb-2026,PE,25800.00,341.10,344.00,249.50,325.45,321.50,325.45,6452.00,109436.41,1236.37,489970.00,57330.00,25694.35
NIFTY,14-Jan-2026,24-Feb-2026,PE,25800.00,360.00,375.45,295.55,348.55,350.00,348.55,6102.00,103651.28,1320.74,432640.00,-8645.00,25665.60
NIFTY,13-Jan-2026,24-Feb-2026,PE,25800.00,321.75,383.55,272.15,319.70,322.30,319.70,6561.00,111426.70,1398.73,441285.00,51480.00,25732.30
NIFTY,12-Jan-2026,24-Feb-2026,PE,25800.00,340.00,435.55,286.85,294.75,292.50,294.75,7897.00,134307.38,1874.69,389805.00,96200.00,25790.25
NIFTY,09-Jan-2026,24-Feb-2026,PE,25800.00,270.00,364.30,249.15,334.80,328.40,334.80,7443.00,126300.72,1481.61,293605.00,-9035.00,25683.30
NIFTY,08-Jan-2026,24-Feb-2026,PE,25800.00,194.85,272.55,185.75,264.45,267.35,264.45,5761.00,97500.81,888.84,302640.00,48815.00,25876.85
NIFTY,07-Jan-2026,24-Feb-2026,PE,25800.00,192.95,196.05,172.30,182.05,182.50,182.05,2102.00,35501.99,251.45,253825.00,22880.00,26140.75
NIFTY,06-Jan-2026,24-Feb-2026,PE,25800.00,175.10,186.75,155.70,178.75,177.50,178.75,2539.00,42870.93,291.90,230945.00,-21645.00,26178.70
NIFTY,05-Jan-2026,24-Feb-2026,PE,25800.00,136.20,173.55,136.00,167.10,166.40,167.10,2504.00,42243.83,251.75,252590.00,13585.00,26250.30
NIFTY,02-Jan-2026,24-Feb-2026,PE,25800.00,167.05,167.80,141.90,145.35,143.00,145.35,2353.00,39691.04,231.23,239005.00,21190.00,26328.55
NIFTY,01-Jan-2026,24-Feb-2026,PE,25800.00,174.95,183.00,169.45,175.65,175.55,175.65,1142.00,19280.80,129.46,217815.00,17940.00,26146.55
NIFTY,31-Dec-2025,24-Feb-2026,PE,25800.00,213.00,221.00,176.45,181.35,178.15,181.35,5280.00,89189.81,644.21,199875.00,86775.00,26129.60
NIFTY,30-Dec-2025,24-Feb-2026,PE,25800.00,244.00,257.70,226.00,231.65,226.00,231.65,1868.00,31624.16,297.80,113100.00,-21125.00,25938.85
NIFTY,29-Dec-2025,24-Feb-2026,PE,25800.00,197.95,241.00,191.75,234.00,234.00,234.00,1303.00,22038.61,187.30,134225.00,8710.00,25942.10
NIFTY,26-Dec-2025,24-Feb-2026,PE,25800.00,175.10,206.55,175.10,200.55,201.00,200.55,841.00,14210.49,106.92,125515.00,11050.00,26042.30
NIFTY,24-Dec-2025,24-Feb-2026,PE,25800.00,167.05,177.00,156.00,175.05,175.00,175.05,712.00,12017.51,77.27,114465.00,14235.00,26142.10
