Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,06-Feb-2026,24-Feb-2026,CE,26200.00,68.65,73.50,49.75,70.45,71.20,70.45,40435.00,690206.37,1598.32,1171105.00,-62075.00,25693.70
NIFTY,05-Feb-2026,24-Feb-2026,CE,26200.00,115.00,115.00,75.80,81.05,79.25,81.05,24856.00,424698.97,1401.29,1233180.00,52975.00,25642.80
NIFTY,04-Feb-2026,24-Feb-2026,CE,26200.00,130.00,143.10,102.55,125.65,120.30,125.65,32514.00,556322.79,2609.37,1180205.00,11635.00,25776.00
NIFTY,03-Feb-2026,24-Feb-2026,CE,26200.00,300.00,414.70,126.40,133.65,137.00,133.65,82436.00,1413993.74,10108.66,1168570.00,314730.00,25727.55
NIFTY,02-Feb-2026,24-Feb-2026,CE,26200.00,33.50,38.50,26.25,33.05,33.10,33.05,30820.00,525501.22,636.62,853840.00,-260390.00,25088.40
NIFTY,01-Feb-2026,24-Feb-2026,CE,26200.00,74.85,104.40,31.85,34.95,32.60,34.95,71169.00,1214477.10,2469.03,1114230.00,204360.00,24825.45
NIFTY,30-Jan-2026,24-Feb-2026,CE,26200.00,80.00,92.00,70.80,79.85,77.00,79.85,19541.00,333779.05,995.82,909870.00,-8450.00,25320.65
NIFTY,29-Jan-2026,24-Feb-2026,CE,26200.00,88.60,105.65,70.00,99.60,99.05,99.60,19135.00,326917.52,1048.47,918320.00,-87685.00,25418.90
NIFTY,28-Jan-2026,24-Feb-2026,CE,26200.00,108.00,115.70,73.00,90.70,90.00,90.70,17887.00,305692.39,1076.78,1006005.00,53365.00,25342.75
NIFTY,27-Jan-2026,24-Feb-2026,CE,26200.00,88.45,106.15,81.60,97.85,100.75,97.85,23499.00,401615.92,1427.95,952640.00,183105.00,25175.40
NIFTY,23-Jan-2026,24-Feb-2026,CE,26200.00,117.95,126.00,78.55,82.70,88.50,82.70,18406.00,314577.52,1123.34,769535.00,84370.00,25048.65
NIFTY,22-Jan-2026,24-Feb-2026,CE,26200.00,118.35,144.00,105.00,119.45,123.50,119.45,12609.00,215718.44,987.17,685165.00,26845.00,25289.90
