Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,02-Feb-2026,24-Feb-2026,CE,26000.00,52.00,56.70,37.60,52.30,52.50,52.30,121778.00,2061825.25,3777.05,4742595.00,-118885.00,25088.40
NIFTY,01-Feb-2026,24-Feb-2026,CE,26000.00,121.30,152.85,44.00,49.40,46.85,49.40,245660.00,4165196.38,13542.38,4861480.00,52650.00,24825.45
NIFTY,30-Jan-2026,24-Feb-2026,CE,26000.00,125.05,138.65,107.60,121.95,121.95,121.95,112933.00,1917313.69,8745.99,4808830.00,541710.00,25320.65
NIFTY,29-Jan-2026,24-Feb-2026,CE,26000.00,134.60,159.70,104.35,151.50,150.90,151.50,84786.00,1439977.96,7094.56,4267120.00,105170.00,25418.90
NIFTY,28-Jan-2026,24-Feb-2026,CE,26000.00,153.00,169.15,109.45,136.45,136.45,136.45,93523.00,1588644.36,8105.66,4161950.00,512265.00,25342.75
NIFTY,27-Jan-2026,24-Feb-2026,CE,26000.00,120.30,152.65,115.10,144.35,148.50,144.35,86846.00,1475254.86,7557.46,3649685.00,309725.00,25175.40
NIFTY,23-Jan-2026,24-Feb-2026,CE,26000.00,170.00,178.95,113.05,119.90,125.30,119.90,64917.00,1102980.89,5883.59,3339960.00,458510.00,25048.65
NIFTY,22-Jan-2026,24-Feb-2026,CE,26000.00,168.00,206.70,148.20,171.35,174.50,171.35,68387.00,1163337.59,7597.29,2881450.00,275665.00,25289.90
NIFTY,21-Jan-2026,24-Feb-2026,CE,26000.00,141.00,180.00,115.00,138.55,137.35,138.55,74784.00,1270832.76,6983.16,2605785.00,421070.00,25157.50
NIFTY,20-Jan-2026,24-Feb-2026,CE,26000.00,244.00,257.00,148.50,156.35,153.65,156.35,46447.00,790825.85,5871.55,2184715.00,508560.00,25232.50
NIFTY,19-Jan-2026,24-Feb-2026,CE,26000.00,300.00,300.00,237.50,252.80,244.00,252.80,27681.00,472396.23,4587.33,1676155.00,205465.00,25585.50
NIFTY,16-Jan-2026,24-Feb-2026,CE,26000.00,339.80,423.70,317.85,327.00,326.00,327.00,22525.00,385981.11,5308.61,1470690.00,161070.00,25694.35
NIFTY,14-Jan-2026,24-Feb-2026,CE,26000.00,303.20,377.00,299.00,320.55,322.10,320.55,17103.00,292744.71,3704.01,1309620.00,72930.00,25665.60
NIFTY,13-Jan-2026,24-Feb-2026,CE,26000.00,406.20,437.50,307.70,350.20,342.95,350.20,18988.00,325361.00,4463.80,1236690.00,71565.00,25732.30
NIFTY,12-Jan-2026,24-Feb-2026,CE,26000.00,368.00,418.20,273.35,404.65,406.00,404.65,30651.00,524819.73,6817.83,1165125.00,139718.00,25790.25
NIFTY,09-Jan-2026,24-Feb-2026,CE,26000.00,467.95,501.95,340.50,368.20,376.45,368.20,18544.00,318219.48,4825.88,1026155.00,192790.00,25683.30
NIFTY,08-Jan-2026,24-Feb-2026,CE,26000.00,601.10,605.00,467.00,479.20,468.75,479.20,10728.00,184936.91,3633.71,833365.00,95680.00,25876.85
NIFTY,07-Jan-2026,24-Feb-2026,CE,26000.00,628.05,667.95,594.00,624.10,620.00,624.10,3915.00,67746.37,1582.87,737685.00,18070.00,26140.75
NIFTY,06-Jan-2026,24-Feb-2026,CE,26000.00,705.00,746.05,648.20,663.60,661.15,663.60,3495.00,60617.15,1551.65,719615.00,-16835.00,26178.70
NIFTY,05-Jan-2026,24-Feb-2026,CE,26000.00,810.10,827.45,685.05,696.30,694.70,696.30,3439.00,59820.92,1701.82,736450.00,-37700.00,26250.30
NIFTY,02-Jan-2026,24-Feb-2026,CE,26000.00,694.55,806.85,688.80,787.00,806.85,787.00,3301.00,57408.55,1621.65,774150.00,-22750.00,26328.55
NIFTY,01-Jan-2026,24-Feb-2026,CE,26000.00,697.00,705.70,650.05,669.35,667.85,669.35,2625.00,45511.30,1148.80,796900.00,-29770.00,26146.55
NIFTY,31-Dec-2025,24-Feb-2026,CE,26000.00,565.10,694.80,565.10,677.70,677.05,677.70,6220.00,107664.89,2546.89,826670.00,87685.00,26129.60
NIFTY,30-Dec-2025,24-Feb-2026,CE,26000.00,574.65,583.00,522.20,564.65,569.15,564.65,5157.00,89004.02,1850.72,738985.00,72605.00,25938.85
NIFTY,29-Dec-2025,24-Feb-2026,CE,26000.00,643.05,661.20,555.75,569.00,568.55,569.00,6060.00,104747.67,2333.67,666380.00,46410.00,25942.10
NIFTY,26-Dec-2025,24-Feb-2026,CE,26000.00,689.00,710.40,628.75,640.80,638.00,640.80,4760.00,82472.41,2028.41,619970.00,158015.00,26042.30
NIFTY,24-Dec-2025,24-Feb-2026,CE,26000.00,744.80,801.90,720.70,733.70,730.00,733.70,5138.00,89387.96,2555.76,461955.00,101010.00,26142.10
NIFTY,23-Dec-2025,24-Feb-2026,CE,26000.00,776.70,800.80,735.00,753.00,752.80,753.00,4559.00,79312.17,2265.07,360945.00,60450.00,26177.15
