Strategy,Final_PnL,Mean_PnL,Risk_StdDev,Max_Profit,Max_Loss,Rebalances,Sharpe_Ratio,Risk_Reduction_%
Unhedged,87645.0,48125.19607843137,28890.59137436934,94880.0,0.0,0,1.665774004236073,0.0
Delta Hedged,28946.95229717798,19848.996107431605,9758.27163177056,33250.264393870166,-173.24720564252607,8,2.034068824525042,66.22335795996293
Delta-Gamma,-3987.807775036017,-10589.070047535322,7251.488989718166,-66.00822656252694,-25321.52401405962,13,-1.4602614804420841,74.90017114654353
Vega Hedged,-5892.33436833052,-6386.782797978772,6997.4232111451975,4730.024120966185,-19883.54417112944,7,-0.9127335313671148,75.77957778547568
