Strategy,Final_PnL,Mean_PnL,Risk_StdDev,Max_Profit,Max_Loss,Rebalances,Sharpe_Ratio,Risk_Reduction_%
Unhedged,-6975.0,-9836.960784313727,21148.95203262874,12589.999999999998,-86160.0,0,-0.4651275755478192,0.0
Delta Hedged,-25199.966511744387,3623.2882364032334,10810.830217787967,12601.939368749569,-26546.34184231425,7,0.3351535602179316,48.88243067028121
Delta-Gamma,-130709.55623170947,-48553.813405393266,31126.83291712015,-27585.32109138792,-130709.55623170947,9,-1.5598700174436333,-47.179079460284726
Vega Hedged,-143336.8900114246,-49095.80647739634,36316.078929407246,-24929.77921185346,-143336.8900114246,9,-1.3519027363287452,-71.7157373726063
