Date,PnL,Stock_Pos,Hedge_Opt_Pos,Main_Price,Hedge_Price
2025-11-26,-7.69058852811213,1.5653503704823066,115.64746766876061,319.65,310.3
2025-11-27,1582.617146197561,2.9482659286195414,118.8509477551008,296.7,304.1
2025-11-28,-6686.158876629903,-2.798488617317485,108.34097814907464,293.35,232.15
2025-12-01,-5581.176699537104,-2.011913423184655,109.77939893318432,300.7,248.45
2025-12-02,-5870.627502899879,-2.667310538542985,108.69717497777863,326.5,266.7
2025-12-03,-5716.17659682285,-2.7059140813998255,108.48894922741749,342.6,281.8
2025-12-04,-6447.678960580102,-3.1812601460414953,107.95434920374561,321.0,256.35
2025-12-05,-6177.761699514311,-2.400772425297017,110.4532501294602,266.3,212.7
2025-12-08,-5632.477328177112,-2.7871302574159884,108.4171395383329,352.8,291.05
2025-12-09,-5854.6114749478,-3.5353796518590173,107.24462947063658,379.35,310.4
2025-12-10,-5907.026218740211,-4.02985254040766,106.02499896211587,415.35,340.8
2025-12-11,-5886.321546706888,-3.3014694513359757,108.14229846554332,352.1,286.7
2025-12-12,-6244.404781579651,-2.9809163469689324,109.36491657091078,300.0,239.75
2025-12-15,-6373.152576560577,-3.209675778808723,109.15154869762091,302.25,240.1
2025-12-16,-5972.413789624472,-3.6879665529875467,108.12640598666201,350.75,283.3
2025-12-17,-5992.3314288734655,-3.9770077163995765,107.663222606403,362.8,292.85
2025-12-18,-6001.635285961926,-4.031181784974969,107.74093289391342,360.75,290.75
2025-12-19,-6341.7145777108235,-3.5020341953105145,109.40347448408437,303.0,239.65
2025-12-22,-6706.679027182712,-2.869534234627661,111.70368168095831,240.45,185.75
2025-12-23,-6826.6915510845065,-2.9764555637475745,112.51663387451353,223.75,169.85
2025-12-24,-7123.560319404474,-3.4590710782183933,111.46700961171877,233.6,175.05
2025-12-26,-7157.559879459997,-4.068744516253965,109.67848290947934,265.8,200.55
2025-12-29,-7047.6380237540325,-4.6359941687074695,107.96765282971093,305.45,234.0
2025-12-30,-6846.735742401641,-4.472024684501164,108.63234355075978,301.05,231.65
2025-12-31,-7126.454055561466,-3.544813975749154,111.38720952622444,240.65,181.35
2026-01-01,-7221.497383694499,-3.5631780799599397,111.59336652674634,234.65,175.65
2026-01-02,-7163.914642009662,-2.5751330405544373,114.23957772789188,193.75,145.35
2026-01-05,-7339.173326212815,-3.123948057764956,112.26445363696408,222.35,167.1
2026-01-06,-7092.901461601956,-3.2309707828729657,112.06699269334982,235.2,178.75
2026-01-07,-7281.569099525943,-3.6485668892787473,111.38435164783544,242.0,182.05
2026-01-08,-7215.3391320384435,-5.412092972724125,106.31872935397631,342.7,264.45
2026-01-09,-7323.588171090829,-7.413945738205314,102.11247301478915,429.0,334.8
2026-01-12,-7423.5754467724655,-6.483992205734154,104.24517290189213,381.15,294.75
2026-01-13,-7759.470582786242,-7.45121530313525,102.03495246605151,414.25,319.7
2026-01-14,-7625.414949770282,-8.078174759382655,100.89659966843679,447.3,348.55
2026-01-16,-7608.410507408858,-8.073752703534808,101.67148921700561,421.5,325.45
2026-01-19,-7912.65757796682,-9.514506680441812,98.1386914525351,503.7,394.7
2026-01-20,-7710.923213042115,-14.077107746505519,90.39906864092349,746.0,609.55
2026-01-21,-8072.447325232002,-14.876582268552433,88.62205427450722,815.25,670.5
2026-01-22,-6775.077295540257,-14.014166922540987,92.33386867161505,684.85,560.25
2026-01-23,-7741.449729148793,-17.015307931282543,85.78611787115126,902.8,749.3
2026-01-27,-5857.359787503927,-21.881965701579652,84.59695554098307,754.35,623.5
2026-01-28,-8550.815484948616,-14.290654382551637,90.73343201524581,674.55,540.85
2026-01-29,-8656.425862542419,-14.142714492315164,91.60126436286205,609.1,479.55
2026-01-30,-8468.084278174982,-15.045711015400272,89.96080742343496,691.85,556.8
2026-02-01,-9741.167160565281,-14.947944563713904,85.42600394348574,1181.25,1003.85
2026-02-02,-9287.17208927097,-18.422768149906915,82.36052024499985,904.7,731.55
2026-02-03,-6229.378952363972,-11.268252475719954,99.20498685992277,385.15,281.05
2026-02-04,-6631.785108676846,-11.635070856109003,99.56572897127742,346.9,243.95
2026-02-05,-6667.870725988978,-15.790357886478624,93.35656164782712,408.6,290.1
2026-02-06,-7764.19046559331,-15.793167694105449,92.1256046808058,389.4,266.4
