Date,Settle Price,Underlying Value,Strike Price,Expiry,T,IV,Delta,Gamma,Vega,Theta
2025-11-26,998.2,26205.3,26000.0,24-Feb-2026,0.2465753424657534,0.12517037073723167,0.6611046501456767,0.00022467764336403672,47.61999168789294,-6.218863699166578
2025-11-27,996.8,26215.55,26000.0,24-Feb-2026,0.24383561643835616,0.1247558324108365,0.6635238365480655,0.00022597113098085878,47.242068712758744,-6.231243800635199
2025-11-28,993.55,26202.95,26000.0,24-Feb-2026,0.2410958904109589,0.12715679362789684,0.6579042430446682,0.00022449120663178647,47.25296738785688,-6.306971163802713
2025-12-01,955.05,26175.75,26000.0,24-Feb-2026,0.2328767123287671,0.126792873275813,0.6510239464285197,0.00023101931150085552,46.73771309961917,-6.350514971295791
2025-12-02,871.05,26032.2,26000.0,24-Feb-2026,0.23013698630136986,0.1295880482169922,0.6147106973325741,0.00023625150584954187,47.74717707477316,-6.3776142447969715
2025-12-03,796.35,25986.0,26000.0,24-Feb-2026,0.2273972602739726,0.12115730219602985,0.6084947993834127,0.0002558344841601935,47.59625400411028,-6.147958558596762
2025-12-04,816.4,26033.75,26000.0,24-Feb-2026,0.22465753424657534,0.12049826396513694,0.6205584822815002,0.0002559605816936876,46.96218840094676,-6.182139219537382
2025-12-05,895.8,26186.45,26000.0,24-Feb-2026,0.2219178082191781,0.11783368145945389,0.6614202475830171,0.00025166765662852517,45.127602323126496,-6.207341432835075
2025-12-08,735.5,25960.55,26000.0,24-Feb-2026,0.2136986301369863,0.11802752011147316,0.6002654069009825,0.00027270857126371524,46.356601231676315,-6.1513919644205775
2025-12-09,657.45,25839.65,26000.0,24-Feb-2026,0.21095890410958903,0.11771977621643175,0.5660102989205255,0.0002816275228220292,46.697715756746994,-6.057101446953988
2025-12-10,598.4,25758.0,26000.0,24-Feb-2026,0.20821917808219179,0.1160460067375322,0.5419987448383684,0.00029086523266175766,46.63017215998134,-5.939636601088494
2025-12-11,670.9,25898.55,26000.0,24-Feb-2026,0.2054794520547945,0.11595374380495518,0.5816065718188961,0.00028691305957030965,45.85158892558562,-6.107376225269811
2025-12-12,744.55,26046.95,26000.0,24-Feb-2026,0.20273972602739726,0.11380859435506498,0.6247542650021156,0.0002841522467159949,44.48143215686877,-6.185848084084756
2025-12-15,713.8,26027.3,26000.0,24-Feb-2026,0.19452054794520549,0.11382650087135061,0.6170956840972045,0.0002920714832846983,43.8082860096898,-6.244774409479812
2025-12-16,606.45,25860.1,26000.0,24-Feb-2026,0.1917808219178082,0.11333410239574584,0.5664224616584933,0.00030650729645860856,44.55197921330272,-6.107117363849797
2025-12-17,573.0,25818.55,26000.0,24-Feb-2026,0.18904109589041096,0.1124092808470603,0.5527287732155928,0.0003133879326705362,44.391964182509355,-6.055299981583487
2025-12-18,561.1,25815.55,26000.0,24-Feb-2026,0.1863013698630137,0.11146074717147139,0.5508377398653356,0.0003186055153314178,44.09141656542186,-6.0460139992208
2025-12-19,641.7,25966.4,26000.0,24-Feb-2026,0.18356164383561643,0.11148912652570783,0.5973907932495989,0.0003120109692667758,43.05343425343641,-6.2302343069587565
2025-12-22,758.7,26172.4,26000.0,24-Feb-2026,0.17534246575342466,0.1131373709430286,0.6568068824722604,0.0002965625872703112,40.29922109616363,-6.488150607138141
2025-12-23,753.0,26177.15,26000.0,24-Feb-2026,0.1726027397260274,0.11255752594508597,0.6585497584409687,0.0002998140552253241,39.91341938384789,-6.501375209275122
2025-12-24,733.7,26142.1,26000.0,24-Feb-2026,0.16986301369863013,0.11507730161013126,0.6448411529950792,0.00030031215753482336,40.11828434084667,-6.594510729904531
2025-12-26,640.8,26042.3,26000.0,24-Feb-2026,0.1643835616438356,0.11088750179615908,0.6164991921910166,0.00032610306790809723,40.31387500098114,-6.470258779674847
2025-12-29,569.0,25942.1,26000.0,24-Feb-2026,0.15616438356164383,0.11278688030947683,0.5792633086076504,0.00033819615660502455,40.08847184142156,-6.540954531721322
2025-12-30,564.65,25938.85,26000.0,24-Feb-2026,0.15342465753424658,0.1138144178927772,0.5765871359290167,0.0003386192948982885,39.7837374872921,-6.605668238883572
2025-12-31,677.7,26129.6,26000.0,24-Feb-2026,0.1506849315068493,0.1148051634739507,0.6381933831095551,0.0003218290146757333,38.01210890704956,-6.8162257425741
2026-01-01,669.35,26146.55,26000.0,24-Feb-2026,0.14794520547945206,0.11150060123983715,0.6468121155837641,0.00033139779779155736,37.3728749387245,-6.750933862807343
2026-01-02,787.0,26328.55,26000.0,24-Feb-2026,0.14520547945205478,0.11189612292288996,0.7044280886296896,0.00030762118837494596,34.647202402222575,-6.820103337885659
2026-01-05,696.3,26250.3,26000.0,24-Feb-2026,0.136986301369863,0.10730191465957957,0.68627079046582,0.0003401625964746923,34.45400491396025,-6.7811005440779475
2026-01-06,663.6,26178.7,26000.0,24-Feb-2026,0.13424657534246576,0.11364217639406858,0.6535377914035438,0.0003385395317257565,35.39552021751171,-7.033106408354822
2026-01-07,624.1,26140.75,26000.0,24-Feb-2026,0.13150684931506848,0.11141206941766817,0.6425932921063207,0.0003533400236945449,35.37606597858167,-6.9858029109128355
2026-01-08,479.2,25876.85,26000.0,24-Feb-2026,0.12876712328767123,0.116512336534984,0.5428187420287466,0.0003666174113578198,36.83094045747257,-6.98125325050123
2026-01-09,368.2,25683.3,26000.0,24-Feb-2026,0.12602739726027398,0.11480531965048488,0.4683845889103123,0.0003799252359742816,36.25991407277449,-6.601514593001363
2026-01-12,404.65,25790.25,26000.0,24-Feb-2026,0.1178082191780822,0.11617481964459005,0.5035268040899696,0.0003879160423126548,35.31314863395186,-7.010876748530199
2026-01-13,350.2,25732.3,26000.0,24-Feb-2026,0.11506849315068493,0.11071045017552543,0.47701533554959913,0.0004121383599478826,34.76524490717158,-6.7055354964013745
2026-01-14,320.55,25665.6,26000.0,24-Feb-2026,0.11232876712328767,0.11300518766326396,0.4482548583800947,0.0004069498858693469,34.02774323592752,-6.681107054822705
