Date,Settle Price,Underlying Value,Strike Price,Expiry,T,IV,Delta,Gamma,Vega,Theta
2026-01-16,327.0,25694.35,26000.0,24-Feb-2026,0.10684931506849316,0.11510469303926638,0.45585050415970696,0.00041013157038005796,33.30145781941613,-6.94190571116659
2026-01-19,252.8,25585.5,26000.0,24-Feb-2026,0.09863013698630137,0.11287086577662098,0.3994444145349134,0.00042582704039093467,31.03219857923887,-6.63974434731222
2026-01-20,156.35,25232.5,26000.0,24-Feb-2026,0.0958904109589041,0.12237974468496012,0.2718407210755995,0.0003469585783415193,25.922860106988274,-5.725708348975898
2026-01-21,138.55,25157.5,26000.0,24-Feb-2026,0.09315068493150686,0.12528286034045594,0.2469835953514109,0.0003282165730220549,24.24226431985158,-5.548221031824902
2026-01-22,171.35,25289.9,26000.0,24-Feb-2026,0.09041095890410959,0.1265600836394197,0.28971400482463316,0.00035551395966456213,26.01768858903206,-6.263357375889808
2026-01-23,119.9,25048.65,26000.0,24-Feb-2026,0.08767123287671233,0.13293172424581504,0.2169304506542356,0.0002979019103306985,21.783501453475115,-5.470872998483179
2026-01-27,144.35,25175.4,26000.0,24-Feb-2026,0.07671232876712329,0.14162385015077197,0.24986748152401567,0.0003217024038477678,22.15177996875054,-6.6967019618888655
2026-01-28,136.45,25342.75,26000.0,24-Feb-2026,0.07397260273972603,0.12167805712195913,0.27032318686608237,0.00039447641201147013,22.804034241031374,-6.33412141019994
2026-01-29,151.5,25418.9,26000.0,24-Feb-2026,0.07123287671232877,0.12171335983186714,0.29561771988389807,0.0004182591246292718,23.430289998180914,-6.795369925421765
2026-01-30,121.95,25320.65,26000.0,24-Feb-2026,0.0684931506849315,0.1234830871932585,0.2529142781304423,0.0003907292967530235,21.187528461328046,-6.351316081434925
2026-02-01,49.4,24825.45,26000.0,24-Feb-2026,0.06301369863013699,0.13943120768238898,0.11776668391940504,0.0002271857062532719,12.30184421938258,-4.240673781386972
2026-02-02,52.3,25088.4,26000.0,24-Feb-2026,0.06027397260273973,0.11894952900906612,0.14154413962509615,0.00030606352532574116,13.811792652988858,-4.356954861375721
2026-02-03,202.55,25727.55,26000.0,24-Feb-2026,0.057534246575342465,0.11399977141482692,0.4071804730676051,0.0005516612626007553,23.94968257173199,-8.330089487674009
2026-02-04,196.5,25776.0,26000.0,24-Feb-2026,0.0547945205479452,0.10647232042855742,0.42394634576341206,0.0006096777604273684,23.632259654832747,-8.20147934746172
