Strategy,Final_PnL,Risk_StdDev,Rebalances
Unhedged,80170.0,28353.645965943688,0
Delta Hedged,18652.70783942745,8229.448212934323,20
Delta-Gamma,-30783.602276196227,4822.144693372675,23
Vega Hedged,-17900.67087401583,5422.058085926782,10
