Date,Stock_Position,Hedge_Option_Position,Cash,Option_Value,Hedge_Option_Value,Portfolio_Value,PnL,Gamma_Main,Gamma_Hedge,Delta_Main,Delta_Hedge
2025-12-12,7.242262134019477,95.73145603694643,-173944.48782718944,74455.0,60393.778097424176,633.129961933344,-99186.87003806666,0.0002841522467159949,0.000294677313838018,0.6247542650021156,0.5668872959671167
2025-12-15,7.242262134019477,95.73145603694643,-173944.48782718944,71380.0,57595.566970978674,767.6083845543471,-99052.39161544565,0.0002920714832846983,0.0003021170649031453,0.6170956840972045,0.5577325277018412
2025-12-16,7.242262134019477,95.73145603694643,-173944.48782718944,60645.00000000001,48297.75166967652,993.886854444143,-98826.11314555586,0.00030650729645860856,0.0003107997391355159,0.5664224616584933,0.505138206294983
2025-12-17,7.242262134019477,95.73145603694643,-173944.48782718944,57300.0,45358.97749683186,1099.1966899309846,-98720.80331006902,0.0003133879326705362,0.00031606067396019885,0.5527287732155928,0.49033503924775984
2025-12-18,7.242262134019477,95.73145603694643,-173944.48782718944,56110.0,44257.51919139597,1166.0115980930132,-98653.98840190699,0.0003186055153314178,0.0003210577947459063,0.5508377398653356,0.48743461201063026
2025-12-19,7.242262134019477,95.73145603694643,-173944.48782718944,64170.00000000001,51079.215905864854,1020.2035554787508,-98799.79644452126,0.0003120109692667758,0.0003204514583532392,0.5973907932495989,0.534336610378424
2025-12-22,7.242262134019477,95.73145603694643,-173944.48782718944,75870.0,61114.99724524984,847.890894471755,-98972.10910552824,0.0002965625872703112,0.0003124627863424325,0.6568068824722604,0.59561569545823
2025-12-23,7.242262134019477,95.73145603694643,-173944.48782718944,75300.0,60536.49299340851,873.7873877670063,-98946.212612233,0.0002998140552253241,0.00031629567967590656,0.6585497584409687,0.5966326850435616
2025-12-24,7.242262134019477,95.73145603694643,-173944.48782718944,73370.0,58953.195590479016,966.648697040102,-98853.3513029599,0.00030031215753482336,0.0003147508088881289,0.6448411529950792,0.5831125037750313
2025-12-26,7.242262134019477,95.73145603694643,-173944.48782718944,64079.99999999999,50625.96941305668,1206.6447586426584,-98613.35524135735,0.00032610306790809723,0.0003380487902904005,0.6164991921910166,0.550077011949971
2025-12-29,7.242262134019477,95.73145603694643,-173944.48782718944,56900.0,44471.234728017516,1506.2354077747295,-98313.76459222527,0.00033819615660502455,0.0003448927796429535,0.5792633086076504,0.5112020300698472
2025-12-30,7.242262134019477,95.73145603694643,-173944.48782718944,56465.0,44104.70893885628,1551.172266677917,-98268.82773332208,0.0003386192948982885,0.00034491822091584204,0.5765871359290167,0.5084895138125172
2025-12-31,7.242262134019477,95.73145603694643,-173944.48782718944,67770.0,53726.7765326356,1249.7013625214604,-98570.29863747854,0.0003218290146757333,0.000336986831160261,0.6381933831095551,0.5720856878630391
2026-01-01,7.242262134019477,95.73145603694643,-173944.48782718944,66935.0,52768.15029617908,1248.831469236582,-98571.16853076342,0.00033139779779155736,0.0003488593969449851,0.6468121155837641,0.5784981661995765
2026-01-02,7.242262134019477,95.73145603694643,-173944.48782718944,78700.0,62882.09195971815,915.8648411672038,-98904.1351588328,0.00030762118837494596,0.0003333722226425445,0.7044280886296896,0.6396277314363253
2026-01-05,7.242262134019477,95.73145603694643,-173944.48782718944,69630.0,54583.484320237396,1120.5501896993956,-98699.4498103006,0.0003401625964746923,0.00036666514196644697,0.68627079046582,0.6149931176601829
2026-01-06,7.242262134019477,95.73145603694643,-173944.48782718944,66360.0,52085.04869870115,1373.5685993673833,-98446.43140063262,0.0003385395317257565,0.0003579452092728454,0.6535377914035438,0.583499600697747
2026-01-07,7.242262134019477,95.73145603694643,-173944.48782718944,62410.0,48529.955987905276,1493.6320405854567,-98326.36795941455,0.0003533400236945449,0.000371945641244444,0.6425932921063207,0.5697489737541266
