Date,Stock_Position,Cash,Option_Value,Portfolio_Value,PnL,Rebalanced,Delta
2025-11-26,-66.11046501456767,1832264.56884625,99820.0,0.0,-99820.0,True,0.6611046501456767
2025-11-27,-66.11046501456767,1832264.56884625,99680.0,-537.6322663994506,-100357.63226639945,False,0.6635238365480655
2025-11-28,-66.11046501456767,1832264.56884625,99355.0,620.3595927841961,-99199.6404072158,False,0.6579042430446682
2025-12-01,-66.11046501456767,1832264.56884625,95505.0,6268.564241180429,-93551.43575881957,False,0.6510239464285197
2025-12-02,-66.11046501456767,1832264.56884625,87105.0,24158.721494021593,-75661.27850597841,False,0.6147106973325741
2025-12-03,-60.84947993834127,1695552.6106554307,79635.0,34683.0249776945,-65136.9750223055,True,0.6084947993834127
2025-12-04,-60.84947993834127,1695552.6106554307,81640.0,29772.462310638744,-70047.53768936126,False,0.6205584822815002
2025-12-05,-66.14202475830172,1834145.570956084,89580.0,12540.746724053985,-87279.25327594602,True,0.6614202475830171
2025-12-08,-60.02654069009825,1675384.2410292844,73550.0,43512.230116954306,-56307.769883045694,True,0.6002654069009825
2025-12-09,-60.02654069009825,1675384.2410292844,65745.0,58574.43888638704,-41245.56111361296,False,0.5660102989205255
2025-12-10,-54.199874483836844,1525300.972888403,59840.0,69380.60593373375,-30439.39406626625,True,0.5419987448383684
2025-12-11,-54.199874483836844,1525300.972888403,67090.0,54512.81357503054,-45307.18642496946,False,0.5816065718188961
2025-12-12,-62.47542650021156,1740853.8624813147,74455.0,39104.55220162915,-60715.44779837085,True,0.6247542650021156
2025-12-15,-62.47542650021156,1740853.8624813147,71380.0,43407.19433235843,-56412.80566764157,False,0.6170956840972045
2025-12-16,-56.64224616584933,1590007.235716674,60645.00000000001,64588.08564319391,-35231.91435680609,True,0.5664224616584933
2025-12-17,-56.64224616584933,1590007.235716674,57300.0,70286.57097138488,-29533.429028615123,False,0.5527287732155928
2025-12-18,-56.64224616584933,1590007.235716674,56110.0,71646.49770988245,-28173.502290117554,False,0.5508377398653356
2025-12-19,-56.64224616584933,1590007.235716674,64170.00000000001,55042.01487576402,-44777.98512423598,False,0.5973907932495989
2025-12-22,-65.68068824722604,1826564.957247298,75870.0,31673.71216559899,-68146.28783440101,True,0.6568068824722604
2025-12-23,-65.68068824722604,1826564.957247298,75300.0,31931.72889642464,-67888.27110357536,False,0.6585497584409687
2025-12-24,-65.68068824722604,1826564.957247298,73370.0,36163.83701949008,-63656.16298050992,False,0.6448411529950792
2025-12-26,-65.68068824722604,1826564.957247298,64079.99999999999,52008.76970656333,-47811.23029343667,False,0.6164991921910166
2025-12-29,-57.92633086076504,1625400.642491988,56900.0,65769.97466893517,-34050.025331064826,True,0.5792633086076504
2025-12-30,-57.92633086076504,1625400.642491988,56465.0,66393.2352442327,-33426.764755767304,False,0.5765871359290167
2025-12-31,-63.81933831095551,1779382.5699624848,67770.0,44038.78763254173,-55781.21236745827,True,0.6381933831095551
2026-01-01,-63.81933831095551,1779382.5699624848,66935.0,43792.04984817095,-56027.95015182905,False,0.6468121155837641
2026-01-02,-70.44280886296896,1953768.9455646984,78700.0,20411.93027557712,-79408.06972442288,True,0.7044280886296896
2026-01-05,-70.44280886296896,1953768.9455646984,69630.0,34994.08006910444,-64825.91993089556,False,0.68627079046582
2026-01-06,-65.35377914035439,1820544.7631652884,66360.0,43307.78518369282,-56512.21481630718,True,0.6535377914035438
2026-01-07,-65.35377914035439,1820544.7631652884,62410.0,49737.961102069356,-50082.038897930644,False,0.6425932921063207
2026-01-08,-54.28187420287466,1534038.7398838662,47920.0,81474.82341720909,-18345.17658279091,True,0.5428187420287466
