Strategy,Final P&L (₹),Max P&L (₹),Min P&L (₹),P&L Std Dev (₹),Sharpe Ratio
Unhedged,80170.0,94880.0,0.0,28353.65,1.64
Delta Hedged,-73593.75,-67042.95,-99820.0,9668.86,-8.25
Delta-Gamma Hedged,-952065.63,-107687.55,-1883774.02,510334.17,-2.53
Vega Hedged,-614537.09,-41811.7,-1275042.68,358267.47,-2.41
