Date,Stock_Position,Vega_Hedge_Position,Option_Value,Vega_Hedge_Value,Portfolio_Value,PnL,Vega_Main,Vega_Hedge
2026-01-07,23.547028125973156,87.25872437703175,62410.0,31403.693034668282,620973.4297481846,521153.42974818463,35.090948855622216,37.19912159416478
2026-01-08,23.547028125973156,87.25872437703175,47920.0,22951.560738712848,620797.2367297849,520977.23672978487,36.830914798401224,34.86679345815987
2026-01-09,23.547028125973156,87.25872437703175,36820.0,16434.11809441256,620822.2667917025,521002.2667917025,36.259908038450185,31.324912860994033
2026-01-12,23.547028125973156,87.25872437703175,40465.0,18237.102943658712,621498.6062990214,521678.6062990214,35.31314848503853,31.638797391474682
2026-01-13,23.547028125973156,87.25872437703175,35020.0,14763.056745804985,622105.0098212676,522285.00982126757,34.76523123012193,29.687460158917908
2026-01-14,23.547028125973156,87.25872437703175,32055.0,13298.431476421725,622034.797775882,522214.79777588195,34.02774619898361,28.08652305794888
2026-01-16,23.547028125973156,87.25872437703175,32700.0,13575.85827604362,622344.2016341256,522524.20163412555,33.30147591067018,27.696973761232638
2026-01-19,23.547028125973156,87.25872437703175,25280.0,9484.172833888264,623109.422180458,523289.422180458,31.032321088713015,23.424187988579106
2026-01-20,6.626338561746209,153.96688720938607,15635.0,9744.28715740415,193529.29659244444,93709.29659244444,25.922704735374605,16.83654531517626
2026-01-21,6.626338561746209,153.96688720938607,13855.000000000002,8479.057616417786,193547.09165932712,93727.09165932712,24.24239189915651,15.230243008087394
2026-01-22,6.626338561746209,153.96688720938607,17135.0,10926.044957245695,193591.40622573023,93771.40622573023,26.01782590140476,17.393666052879926
2026-01-23,6.626338561746209,153.96688720938607,11990.0,7299.544737670824,193511.3018281341,93691.3018281341,21.784605594550754,13.269187700594696
2026-01-27,6.626338561746209,153.96688720938607,14435.0,9090.871138121174,193697.51664128577,93877.51664128577,22.15189713368774,14.186441603292064
2026-01-28,6.626338561746209,153.96688720938607,13644.999999999998,7330.017786263357,193835.58104773617,94015.58104773617,22.804126598382616,13.587429156491915
2026-01-29,6.626338561746209,153.96688720938607,15150.0,8214.161572695395,193719.32051564517,93899.32051564517,23.431092408410876,14.401706177414766
2026-01-30,6.626338561746209,153.96688720938607,12195.0,6225.652833554374,194034.7740128126,94214.77401281259,21.18742199582579,12.03142518749846
2026-02-01,2.5392005749321314,221.06049697065524,4940.0,3223.3304978430237,92562.74277894251,-7257.257221057487,12.306204910282453,5.566894618859038
2026-02-02,2.5392005749321314,221.06049697065524,5230.0,2751.2224387440406,92468.31751102193,-7351.682488978069,13.810793736624506,5.54258611581037
2026-02-03,14.325742580665672,150.11203934950095,20255.0,9883.623139664589,394108.85997903947,294288.85997903947,23.949652673231423,15.95451822319876
2026-02-04,14.325742580665672,150.11203934950095,19650.0,8629.706645378337,394154.0257127864,294334.0257127864,23.6322216401218,15.240040030711654
