Date,Stock_Position,Vega_Hedge_Position,Option_Value,Vega_Hedge_Value,Portfolio_Value,PnL,Vega_Main,Vega_Hedge
2025-11-26,15.967818296433805,92.27648436686259,99820.0,65825.81036268227,418441.4688035368,318621.4688035368,47.61942456626862,51.60515692920051
2025-11-27,15.967818296433805,92.27648436686259,99680.0,65596.12447333311,418515.4530517261,318695.4530517261,47.2422900643895,51.315673328180765
2025-11-28,15.967818296433805,92.27648436686259,99355.0,65538.75533931139,418581.8894071693,318761.8894071693,47.25291467504738,51.063515067415466
2025-12-01,15.967818296433805,92.27648436686259,95505.0,62337.33942883398,418796.1488390289,318976.1488390289,46.73762551224783,50.24493546905286
2025-12-02,15.967818296433805,92.27648436686259,87105.0,56283.95221760988,418850.58131135174,319030.58131135174,47.74716726444651,49.815749470814374
2025-12-03,15.967818296433805,92.27648436686259,79635.0,49811.096437305125,419110.0123257517,319290.0123257517,47.596307009000896,49.36305083292872
2025-12-04,15.967818296433805,92.27648436686259,81640.0,51115.03890535336,419171.4181174546,319351.4181174546,46.96242815123054,49.210084885094865
2025-12-05,15.967818296433805,92.27648436686259,89580.0,56536.213894584514,419090.8789605513,319270.8789605513,45.12773563158944,49.08170093508807
2025-12-08,15.967818296433805,92.27648436686259,73550.0,44678.831014291536,419656.3659270939,319836.3659270939,46.35658557408334,47.660835644940505
2025-12-09,15.967818296433805,92.27648436686259,65745.0,39077.27454333711,419929.30022410065,320109.30022410065,46.69771129879907,46.53476852637622
2025-12-10,15.967818296433805,92.27648436686259,59840.0,34761.791982182855,420215.0452990425,320395.0452990425,46.6301656696683,45.39884719055859
2025-12-11,15.967818296433805,92.27648436686259,67090.0,39655.005593513946,420102.5357719374,320282.5357719374,45.851513666771304,46.26556707577555
2025-12-12,15.967818296433805,92.27648436686259,74455.0,44488.789212702926,419940.9436263172,320120.9436263172,44.48137016622007,46.720728756879154
2025-12-15,15.967818296433805,92.27648436686259,71380.0,42053.34536357253,420266.7321476618,320446.7321476618,43.808401428596255,45.643343976264674
2025-12-16,15.967818296433805,92.27648436686259,60645.00000000001,34529.24651146707,420807.8140763926,320987.8140763926,44.55198349386551,44.13300193197164
2025-12-17,15.967818296433805,92.27648436686259,57300.0,32107.04280673675,421067.1475214455,321247.1475214455,44.39200731679873,43.32719326972422
2025-12-18,15.967818296433805,92.27648436686259,56110.0,31130.39862085728,421232.5998806767,321412.5998806767,44.09143551873648,42.883121470459194
2025-12-19,15.967818296433805,92.27648436686259,64170.00000000001,36437.4225481202,420888.3691979567,321068.3691979567,43.05334716927279,43.871603189651
2025-12-22,19.531125014665463,92.17300013498802,75870.0,44369.52550358693,513719.94591343903,413899.94591343903,40.299556791074195,43.7216503011242
2025-12-23,19.531125014665463,92.17300013498802,75300.0,43787.37662857723,513800.5698822489,413980.5698822489,39.91316348194147,43.386635548648094
2025-12-24,19.531125014665463,92.17300013498802,73370.0,42633.53466324308,513892.16198515065,414072.16198515065,40.11879253387502,42.96374607325639
2025-12-26,19.531125014665463,92.17300013498802,64079.99999999999,35567.491469762484,514166.9125152065,414346.9125152065,40.31403060729138,41.78260053785224
2025-12-29,19.531125014665463,92.17300013498802,56900.0,30697.631086994894,514520.0334059694,414700.0334059694,40.088412656233196,39.854734199133006
2025-12-30,19.531125014665463,92.17300013498802,56465.0,30417.42909523298,514611.35525790986,414791.35525790986,39.78373206146132,39.437312171488514
2025-12-31,19.531125014665463,92.17300013498802,67770.0,37938.220819069684,514552.709078294,414732.709078294,38.01204198352283,40.35481515897865
2026-01-01,19.531125014665463,92.17300013498802,66935.0,36871.70495993076,514652.2457881536,414832.2457881536,37.372900891032515,40.030216221322156
2026-01-02,23.547028125973156,87.25872437703175,78700.0,42592.74399945602,620294.6125950301,520474.6125950301,34.46655191123308,39.499261715434116
2026-01-05,23.547028125973156,87.25872437703175,69630.0,35659.166379052826,620588.4800237694,520768.4800237694,34.45438813544976,38.759298443576334
2026-01-06,23.547028125973156,87.25872437703175,66360.0,34166.71200613147,620680.0584370284,520860.05843702843,35.39541833575652,38.19084545211368
