Date,PnL,Hedge_Contracts,Stock_Shares,Rebalanced
2025-11-26,-42488.292029992146,47.865418980393024,36.67726108023014,True
2025-11-27,-42060.98560161582,47.865418980393024,36.67726108023014,False
2025-11-28,-42300.554636075496,47.865418980393024,36.67726108023014,False
2025-12-01,-41226.5504907227,47.865418980393024,36.67726108023014,False
2025-12-02,-41758.78121731945,47.865418980393024,36.67726108023014,False
2025-12-03,-40062.59442903555,48.63254070696412,33.772584152250815,True
2025-12-04,-39597.37858790385,48.63254070696412,33.772584152250815,False
2025-12-05,-38926.564525537426,48.63254070696412,33.772584152250815,False
2025-12-08,-37780.098304694286,48.725730802987265,33.46043413535621,True
2025-12-09,-37488.958609487876,48.725730802987265,33.46043413535621,False
2025-12-10,-37523.22911696007,49.76096553002613,30.09828042908102,True
2025-12-11,-37328.88182526697,49.76096553002613,30.09828042908102,False
2025-12-12,-36994.111185623835,49.76096553002613,30.09828042908102,False
2025-12-15,-35963.69942301718,49.76096553002613,30.09828042908102,False
2025-12-16,-34888.377272736485,49.30945686583522,31.73412944498584,True
2025-12-17,-34373.58648147689,49.30945686583522,31.73412944498584,False
2025-12-18,-33847.27188732124,49.30945686583522,31.73412944498584,False
2025-12-19,-33608.48585911633,49.30945686583522,31.73412944498584,False
2025-12-22,-33599.6405289197,49.30945686583522,31.73412944498584,False
2025-12-23,-33179.26520996404,49.30945686583522,31.73412944498584,False
2025-12-24,-33173.54720908719,49.30945686583522,31.73412944498584,False
2025-12-26,-30816.34170653276,48.23329707214414,35.11747394368663,True
2025-12-29,-30258.326205797763,48.23329707214414,35.11747394368663,False
2025-12-30,-30121.177826008534,48.23329707214414,35.11747394368663,False
2025-12-31,-29879.790449202745,48.23329707214414,35.11747394368663,False
2026-01-01,-28932.071263178845,48.23329707214414,35.11747394368663,False
2026-01-02,-27942.68721843318,46.227693303892366,40.71032773689613,True
2026-01-05,-26185.427301333613,46.386341210012475,40.09921608810798,True
2026-01-06,-26998.497291425178,46.386341210012475,40.09921608810798,False
2026-01-07,-26270.869345154933,46.386341210012475,40.09921608810798,False
2026-01-08,-29623.216486037294,49.85453905212618,30.860117431313828,True
2026-01-09,-29293.900023654533,49.85453905212618,30.860117431313828,False
2026-01-12,-28502.282855052767,50.84534894342069,28.628006623415793,True
2026-01-13,-27443.279140743747,51.65606555223038,27.20559095477694,True
2026-01-14,-27538.24255281986,51.65606555223038,27.20559095477694,False
2026-01-16,-27143.21309816128,51.65606555223038,27.20559095477694,False
2026-01-19,-25946.17175799351,51.65606555223038,27.20559095477694,False
2026-01-20,-30507.479720496707,57.70027776880328,15.117398121137462,True
2026-01-21,-30729.39482513931,58.50893894369953,13.684981643328294,True
2026-01-22,-30581.212705733444,57.04801516359799,16.138622291117535,True
2026-01-23,-31770.55231019947,59.341460830411506,11.94911121928556,True
2026-01-27,-31501.580918265827,58.14541784011869,13.818330637826067,True
2026-01-28,-29146.006459270357,59.174893709058516,15.226614342582936,True
2026-01-29,-28799.223330234723,58.35208084596019,16.73783296352712,True
2026-01-30,-28948.048507972486,60.21391015134716,14.24778467329547,True
2026-02-01,-32017.666786973983,66.39050623597291,6.468718939237846,True
2026-02-02,-30730.18427994675,68.59030906069056,7.925421891173701,True
2026-02-03,-32051.60845573316,55.53948436815015,23.87501372796,True
2026-02-04,-30783.602276196227,55.604814662900836,25.22416404449829,True
