Strategy,Final P&L (₹),Max P&L (₹),Min P&L (₹),P&L Std Dev (₹),Sharpe Ratio
Unhedged,80170.0,94880.0,0.0,28353.65,1.64
Delta Hedged,39117.43,66423.95,-100357.63,49932.0,-0.5
Delta-Gamma Hedged,-94718.57,-94374.92,-99820.0,1642.45,-59.57
Vega Hedged,-87030.28,-87030.28,-99820.0,3821.88,-24.91
