Date,PnL,Stock_Pos,Hedge_Opt_Pos
2025-11-26,-7.69058852811213,1.5653503704823066,115.64746766876061
2025-11-27,1582.617146197561,2.9482659286195414,118.8509477551008
2025-11-28,-6686.158876629903,-2.798488617317485,108.34097814907464
2025-12-01,-5581.176699537104,-2.011913423184655,109.77939893318432
2025-12-02,-5870.627502899879,-2.667310538542985,108.69717497777863
2025-12-03,-5716.17659682285,-2.7059140813998255,108.48894922741749
2025-12-04,-6447.678960580102,-3.1812601460414953,107.95434920374561
2025-12-05,-6177.761699514311,-2.400772425297017,110.4532501294602
2025-12-08,-5632.477328177112,-2.7871302574159884,108.4171395383329
2025-12-09,-5854.6114749478,-3.5353796518590173,107.24462947063658
2025-12-10,-5907.026218740211,-4.02985254040766,106.02499896211587
2025-12-11,-5886.321546706888,-3.3014694513359757,108.14229846554332
2025-12-12,-6244.404781579651,-2.9809163469689324,109.36491657091078
2025-12-15,-6373.152576560577,-3.209675778808723,109.15154869762091
2025-12-16,-5972.413789624472,-3.6879665529875467,108.12640598666201
2025-12-17,-5992.3314288734655,-3.9770077163995765,107.663222606403
2025-12-18,-6001.635285961926,-4.031181784974969,107.74093289391342
2025-12-19,-6341.7145777108235,-3.5020341953105145,109.40347448408437
2025-12-22,-6706.679027182712,-2.869534234627661,111.70368168095831
2025-12-23,-6826.6915510845065,-2.9764555637475745,112.51663387451353
2025-12-24,-7123.560319404474,-3.4590710782183933,111.46700961171877
2025-12-26,-7157.559879459997,-4.068744516253965,109.67848290947934
2025-12-29,-7047.6380237540325,-4.6359941687074695,107.96765282971093
2025-12-30,-6846.735742401641,-4.472024684501164,108.63234355075978
2025-12-31,-7126.454055561466,-3.544813975749154,111.38720952622444
2026-01-01,-7221.497383694499,-3.5631780799599397,111.59336652674634
2026-01-02,-7163.914642009662,-2.5751330405544373,114.23957772789188
2026-01-05,-7339.173326212815,-3.123948057764956,112.26445363696408
2026-01-06,-7092.901461601956,-3.2309707828729657,112.06699269334982
2026-01-07,-7281.569099525943,-3.6485668892787473,111.38435164783544
2026-01-08,-7215.3391320384435,-5.412092972724125,106.31872935397631
2026-01-09,-7323.588171090829,-7.413945738205314,102.11247301478915
2026-01-12,-7423.5754467724655,-6.483992205734154,104.24517290189213
2026-01-13,-7759.470582786242,-7.45121530313525,102.03495246605151
2026-01-14,-7625.414949770282,-8.078174759382655,100.89659966843679
2026-01-16,-7608.410507408858,-8.073752703534808,101.67148921700561
2026-01-19,-7912.65757796682,-9.514506680441812,98.1386914525351
2026-01-20,-7710.923213042115,-14.077107746505519,90.39906864092349
2026-01-21,-8072.447325232002,-14.876582268552433,88.62205427450722
2026-01-22,-6775.077295540257,-14.014166922540987,92.33386867161505
2026-01-23,-7741.449729148793,-17.015307931282543,85.78611787115126
2026-01-27,-5857.359787503927,-21.881965701579652,84.59695554098307
2026-01-28,-8550.815484948616,-14.290654382551637,90.73343201524581
2026-01-29,-8656.425862542419,-14.142714492315164,91.60126436286205
2026-01-30,-8468.084278174982,-15.045711015400272,89.96080742343496
2026-02-01,-9741.167160565281,-14.947944563713904,85.42600394348574
2026-02-02,-9287.17208927097,-18.422768149906915,82.36052024499985
2026-02-03,-6229.378952363972,-11.268252475719954,99.20498685992277
2026-02-04,-6631.785108676846,-11.635070856109003,99.56572897127742
2026-02-05,-6667.870725988978,-15.790357886478624,93.35656164782712
2026-02-06,-7764.19046559331,-15.793167694105449,92.1256046808058
