Option_Type,Strategy,Final_PnL,StdDev,Max_Drawdown,Risk_Adjusted_Return,Stock_Rebalances,Hedge_Opt_Rebalances
CALL,Unhedged,94590.0,28080.747156128848,94880.0,3.3685001141201822,0,0
CALL,Delta,29462.09716467082,10768.846355645976,35448.99659927492,2.7358638234469934,7,0
CALL,Delta-Gamma,29539.273192430264,9786.027033185706,32688.680522485403,3.0185153885492753,47,0
CALL,Delta-Vega,2221.0117249630484,1567.514961932624,5632.2775898340515,1.4168998567163364,6,2
PUT,Unhedged,-58505.0,22012.424587411224,98750.0,-2.6578171690118437,0,0
PUT,Delta,-5971.975734078558,4847.01530337077,24817.480231732596,-1.2320934348867136,7,0
PUT,Delta-Gamma,-12076.984042245196,5191.311547591398,25907.50322278519,-2.326383984380311,47,0
PUT,Delta-Vega,-8676.713888974366,1688.8085856564605,10449.528587368975,-5.137772251200168,12,3
