Strategy,Final_PnL,Mean_PnL,Risk_StdDev,Max_Profit,Max_Loss,Rebalances,Sharpe_Ratio,Risk_Reduction_%
Unhedged,-6975.0,-9836.960784313727,21148.95203262874,12589.999999999998,-86160.0,0,-0.4651275755478192,0.0
Delta Hedged,-29318.565926845447,1362.7898847909105,11429.759091269976,11140.38447933745,-30664.94125741531,10,0.11923172430045409,45.95590801077959
Delta-Gamma,-205354.47516196468,-83719.126093077,46305.482364750445,-53576.10530723612,-205354.47516196468,14,-1.807974386998445,-118.94929967834838
Vega Hedged,-224228.09383146276,-84387.64919333487,54394.23084492794,-49031.77477219914,-224228.09383146276,10,-1.5514080791750677,-157.19586843361398
