Strategy,Final_PnL,Mean_PnL,Risk_StdDev,Max_Profit,Max_Loss,Rebalances,Sharpe_Ratio,Risk_Reduction_%
Unhedged,87645.0,48125.19607843137,28890.59137436934,94880.0,0.0,0,1.665774004236073,0.0
Delta Hedged,22321.694851006047,16561.931827562188,8115.26296062527,27981.54033402724,-866.2360282126303,21,2.0408373589271975,71.91036052025979
Delta-Gamma,-29109.447933074196,-32710.34156443894,4763.945542438582,-25946.17175799351,-42488.292029992146,24,-6.8662291105231805,83.5103910449373
Vega Hedged,-16424.516625143813,-22032.935493438024,5405.0175885623485,-14772.834185388852,-33467.090015239,11,-4.07638553111507,81.29142626911585
