Date,PnL,Stock_Pos,Hedge_Opt_Pos
2025-11-26,0.0,0,0
2025-11-27,2294.9999999999964,0,0
2025-11-28,2629.9999999999927,0,0
2025-12-01,1894.9999999999964,0,0
2025-12-02,-685.0000000000036,0,0
2025-12-03,-2295.0000000000036,0,0
2025-12-04,-135.00000000000364,0,0
2025-12-05,5334.999999999996,0,0
2025-12-08,-3315.0000000000036,0,0
2025-12-09,-5970.000000000004,0,0
2025-12-10,-9570.000000000004,0,0
2025-12-11,-3245.0000000000036,0,0
2025-12-12,1964.9999999999964,0,0
2025-12-15,1739.9999999999964,0,0
2025-12-16,-3110.0000000000036,0,0
2025-12-17,-4315.000000000004,0,0
2025-12-18,-4110.000000000004,0,0
2025-12-19,1664.9999999999964,0,0
2025-12-22,7919.999999999996,0,0
2025-12-23,9589.999999999996,0,0
2025-12-24,8604.999999999996,0,0
2025-12-26,5384.999999999996,0,0
2025-12-29,1419.9999999999964,0,0
2025-12-30,1859.9999999999964,0,0
2025-12-31,7899.999999999996,0,0
2026-01-01,8499.999999999996,0,0
2026-01-02,12589.999999999996,0,0
2026-01-05,9729.999999999996,0,0
2026-01-06,8444.999999999996,0,0
2026-01-07,7764.999999999996,0,0
2026-01-08,-2305.0000000000036,0,0
2026-01-09,-10935.000000000004,0,0
2026-01-12,-6150.000000000004,0,0
2026-01-13,-9460.000000000004,0,0
2026-01-14,-12765.000000000004,0,0
2026-01-16,-10185.000000000004,0,0
2026-01-19,-18405.000000000004,0,0
2026-01-20,-42635.0,0,0
2026-01-21,-49560.0,0,0
2026-01-22,-36520.0,0,0
2026-01-23,-58315.0,0,0
2026-01-27,-43470.0,0,0
2026-01-28,-35490.0,0,0
2026-01-29,-28945.000000000004,0,0
2026-01-30,-37220.0,0,0
2026-02-01,-86160.0,0,0
2026-02-02,-58505.0,0,0
2026-02-03,-6550.000000000004,0,0
2026-02-04,-2725.0000000000036,0,0
2026-02-05,-8895.000000000004,0,0
2026-02-06,-6975.000000000004,0,0
