Date,PnL,Stock_Pos,Hedge_Opt_Pos
2025-11-26,0.0,0,0
2025-11-27,140.0,0,0
2025-11-28,465.0,0,0
2025-12-01,4315.0,0,0
2025-12-02,12715.0,0,0
2025-12-03,20185.0,0,0
2025-12-04,18180.0,0,0
2025-12-05,10240.0,0,0
2025-12-08,26270.0,0,0
2025-12-09,34075.0,0,0
2025-12-10,39980.0,0,0
2025-12-11,32730.0,0,0
2025-12-12,25365.0,0,0
2025-12-15,28440.0,0,0
2025-12-16,39174.99999999999,0,0
2025-12-17,42520.0,0,0
2025-12-18,43710.0,0,0
2025-12-19,35649.99999999999,0,0
2025-12-22,23950.0,0,0
2025-12-23,24520.0,0,0
2025-12-24,26450.0,0,0
2025-12-26,35740.00000000001,0,0
2025-12-29,42920.0,0,0
2025-12-30,43355.0,0,0
2025-12-31,32050.0,0,0
2026-01-01,32885.0,0,0
2026-01-02,21120.0,0,0
2026-01-05,30190.0,0,0
2026-01-06,33460.0,0,0
2026-01-07,37410.0,0,0
2026-01-08,51900.0,0,0
2026-01-09,63000.0,0,0
2026-01-12,59355.0,0,0
2026-01-13,64800.0,0,0
2026-01-14,67765.0,0,0
2026-01-16,67120.0,0,0
2026-01-19,74540.0,0,0
2026-01-20,84185.0,0,0
2026-01-21,85965.0,0,0
2026-01-22,82685.0,0,0
2026-01-23,87830.0,0,0
2026-01-27,85385.0,0,0
2026-01-28,86175.0,0,0
2026-01-29,84670.0,0,0
2026-01-30,87625.0,0,0
2026-02-01,94880.0,0,0
2026-02-02,94590.0,0,0
2026-02-03,79565.0,0,0
2026-02-04,80170.0,0,0
2026-02-05,86330.0,0,0
2026-02-06,87645.0,0,0
