Date,PnL,Stock_Pos,Hedge_Opt_Pos
2025-11-26,-84.98983828175915,-32.4323088389745,0
2025-11-27,1875.6197017047089,-31.684930121370016,0
2025-11-28,2609.3966512631123,-31.85787628611917,0
2025-12-01,2738.582386120339,-32.75508080756527,0
2025-12-02,4851.5738044802565,-36.21250337118975,0
2025-12-03,4910.855432234122,-37.65021136596892,0
2025-12-04,5269.384525722242,-36.23922993343183,0
2025-12-05,5194.057931974763,-31.81091570514074,0
2025-12-08,3711.6242111978354,-38.94465461596464,0
2025-12-09,5755.667354017962,-42.56916201065918,0
2025-12-10,5624.048934299499,-45.43836687474997,0
2025-12-11,5550.741449960507,-40.826131790930106,0
2025-12-12,4690.14916546829,-36.22124457070976,0
2025-12-15,5174.761307548382,-37.041657650213914,0
2025-12-16,6503.895177270984,-42.54484185792736,0
2025-12-17,7062.554907883517,-44.12450012083015,0
2025-12-18,7399.339818100212,-44.352498418683815,0
2025-12-19,6470.021649887902,-39.05958844508332,0
2025-12-22,4661.964928540867,-32.647680610932184,0
2025-12-23,6175.183533605072,-31.996382805834124,0
2025-12-24,6308.408485058229,-33.2389248707141,0
2025-12-26,6395.994918576325,-36.94760980988675,0
2025-12-29,6122.252197135007,-41.14666246641107,0
2025-12-30,6695.548368155025,-41.31262279073418,0
2025-12-31,4837.437494464684,-34.527950863966716,0
2026-01-01,4850.85412794177,-34.01752047120926,0
2026-01-02,2735.410056506167,-28.60311455992931,0
2026-01-05,2105.5806928139646,-31.65949029909525,0
2026-01-06,3081.7355926751625,-33.823312625666304,0
2026-01-07,3682.023649428622,-35.08825620633206,0
2026-01-08,2845.081881595077,-45.41894973533618,0
2026-01-09,2984.6188427221496,-53.7125724969075,0
2026-01-12,2014.8555550388992,-49.75617070211037,0
2026-01-13,1581.4270502836443,-52.39821861180778,0
2026-01-14,1763.4070397967007,-55.50790312906151,0
2026-01-16,2746.0712506128475,-54.93050995768498,0
2026-01-19,492.35310856369324,-59.97405061275849,0
2026-01-20,-2602.1414060438983,-73.97757024472864,0
2026-01-21,-3983.8763026404195,-75.98598322341526,0
2026-01-22,-1009.0139788552187,-74.16964649040162,0
2026-01-23,-4925.608114836505,-80.16651729612853,0
2026-01-27,-250.44395866943523,-83.63409935963597,0
2026-01-28,-6294.705811999505,-72.54796013037969,0
2026-01-29,-5278.984080821974,-70.67883719664125,0
2026-01-30,-6618.714516654611,-74.20409835803315,0
2026-02-01,-18830.876230210997,-81.46729820113529,0
2026-02-02,-12599.689980228664,-80.6750244693694,0
2026-02-03,-12263.843985560117,-59.02037187546946,0
2026-02-04,-11303.560604073107,-57.01090526064361,0
2026-02-05,-9903.03224584111,-66.10672259957936,0
2026-02-06,-11356.44288156787,-62.767983761615966,0
