Date,PnL,Stock_Pos,Hedge_Opt_Pos
2025-11-26,-27.066912934504217,7.099315638434845,96.04974832062643
2025-11-27,-2242.238843638974,8.056976816512922,94.02591876054194
2025-11-28,-2244.907604256179,7.8772375090444555,94.23305093221639
2025-12-01,-3364.7417369422037,8.424791635596598,93.20454636342717
2025-12-02,-3315.262459039004,7.811816474938325,94.27726347078382
2025-12-03,-2513.7512017571717,7.967831118569876,94.70904099336384
2025-12-04,-1406.6373958499025,7.714051295525373,95.3668257853927
2025-12-05,-1342.9628676015855,8.638122550413733,93.97178346313467
2025-12-08,-1278.0007848990062,7.721108023746275,95.8134574996517
2025-12-09,-1043.2561281553935,7.094954284017497,97.17039964369113
2025-12-10,-611.4375814344457,6.595248533539625,98.42580640381976
2025-12-11,-790.1012458515179,7.454302094692231,96.75285057915444
2025-12-12,-636.6604891386814,8.375576843071975,95.26853111573013
2025-12-15,-436.7477009643335,8.337221248901393,95.56584091383041
2025-12-16,-229.7068150536361,7.348390754419071,97.6323007817567
2025-12-17,-480.34534434002853,7.385879919754146,97.79595006000798
2025-12-18,-461.836266930266,7.474783649349057,97.82613002286993
2025-12-19,-745.1542259944617,8.611016380279416,95.59824910046018
2025-12-22,-871.5058562741033,10.010045340984718,93.02450393424266
2025-12-23,-133.61477492203994,9.80110732509101,93.69206424681869
2025-12-24,-1325.8155584684719,10.050407082476312,92.839344465387
2025-12-26,-763.9100648143794,9.756153811967657,94.09764688805352
2025-12-29,-289.7463218512421,8.85382884420973,96.03683755013384
2025-12-30,-392.6341268533142,8.897854215710446,95.95958243249595
2025-12-31,-340.6741145050328,10.16048237157495,93.45207674111577
2026-01-01,72.21634493343299,10.505781419478964,93.33693826476028
2026-01-02,436.0581261383195,11.823879180088113,91.25402050476185
2026-01-05,1093.3720923854562,11.832846425609013,92.16637377394142
2026-01-06,738.8761224827322,10.691625478727232,93.4511271506821
2026-01-07,867.3872103204267,10.660652865508816,93.89367360155873
2026-01-08,688.0404438815749,8.167397318376146,98.38156762138524
2026-01-09,813.1273245886841,6.8090056158324685,102.13529454760831
2026-01-12,1004.3568236698484,7.5707852285197745,100.55007114766735
2026-01-13,1569.807021447792,6.996928702452166,102.84840820008927
2026-01-14,1490.3271498882532,6.451697226037481,104.22285269495345
2026-01-16,1446.9774353120447,6.7299792459279,103.71106071244617
2026-01-19,1686.5066472868566,5.870502422963668,107.66158304547042
2026-01-20,1699.8373251871672,3.1611301520858746,115.44424770275884
2026-01-21,1631.4717148496165,2.8364537724806667,117.19491252294895
2026-01-22,1484.9484796018078,3.616612666901375,114.1065410443943
2026-01-23,1560.8113673417884,2.349690915260947,118.99832280102994
2026-01-27,1214.5370134658297,3.104480918878526,116.74448578801433
2026-01-28,1688.210428060498,3.5476337590083347,118.43386080749193
2026-01-29,1505.6574072837393,4.236059200997207,116.74802092859707
2026-01-30,1736.261953092995,3.288601983174395,120.5302491968416
2026-02-01,1944.6549546682818,0.767795582267393,127.7096746696266
2026-02-02,1612.3434146624259,1.3794595228803743,133.89410129653243
2026-02-03,923.816675268441,7.073489119757369,111.03283989590022
2026-02-04,980.7717611507578,8.03962415594647,111.22648362460997
2026-02-05,1103.7840660356032,5.959828895402332,120.53067791894439
2026-02-06,1443.3102274731082,6.418872798413815,124.00686877995949
