Date,PnL,Stock_Pos,Hedge_Opt_Pos
2025-11-26,-7.809132954000233,-1.743880002522669,104.39068936491431
2025-11-27,1621.2706432801133,-1.4366921347999408,103.80306072349276
2025-11-28,-5497.95055253616,-2.80624054360295,108.31207694558479
2025-12-01,-4391.386743654613,-2.7197300404396714,107.25188828909066
2025-12-02,-4625.298540161562,-3.3555107546085594,106.46718573077622
2025-12-03,-4473.131899402626,-3.5463465477375635,105.87972133460617
2025-12-04,-5177.211086505791,-3.5167192490500767,106.85887149042345
2025-12-05,-4910.303202523617,-2.882285072814696,108.64487278186601
2025-12-08,-4399.276477632517,-3.773836713567462,105.45853290146407
2025-12-09,-4559.499584187848,-4.574692297128038,104.3891362847221
2025-12-10,-4613.966997075659,-5.111288856627809,103.25602050084946
2025-12-11,-4595.587830228371,-4.33002163554638,105.17811463663504
2025-12-12,-4968.121059501344,-3.6400555463648274,107.19626459294795
2025-12-15,-5084.638484558847,-3.855270263664231,107.06867817231537
2025-12-16,-4667.362670228547,-4.871857978228775,104.83201023597005
2025-12-17,-4669.783889101025,-5.249717125794547,104.25020753994188
2025-12-18,-4668.218843149043,-5.349555340136952,104.21816110483277
2025-12-19,-5028.276776320552,-4.397839178575559,106.64726192399303
2025-12-22,-5430.217184525369,-3.388993282385826,109.7550886629844
2025-12-23,-5521.580854406915,-3.44397462029071,110.70395977386545
2025-12-24,-5810.978909107114,-3.7366540206988326,110.42800717963452
2025-12-26,-5843.906498045046,-4.398182426385432,108.57953226524631
2025-12-29,-5738.259475942916,-5.163498792617652,106.40774065182335
2025-12-30,-5531.714600433952,-5.2320909493857854,106.39112641931699
2025-12-31,-5844.553807521384,-3.976152248719732,109.83650900285927
2026-01-01,-5938.14562420483,-3.929995089154257,110.24924474505164
2026-01-02,-5906.571659568917,-2.949798346992665,112.59513187007792
2026-01-05,-6088.097036043422,-3.4318678419643973,111.0530364490652
2026-01-06,-5834.583761414135,-3.797570047267282,109.99140541241424
2026-01-07,-6008.347672336091,-4.122026739062459,109.70698079764591
2026-01-08,-5956.036029812825,-6.1339030000595685,104.40051004980488
2026-01-09,-6059.837235154751,-8.257887166544755,100.25114466964172
2026-01-12,-6175.65597369213,-7.281447254425565,102.32405771146361
2026-01-13,-6512.428662260892,-7.931863584668243,100.94382467222937
2026-01-14,-6378.472289458645,-8.817032944484339,99.32483695596868
2026-01-16,-6346.78484140701,-8.975202856361108,99.71549002150796
2026-01-19,-6687.630694767431,-10.141489085167386,96.91927431222035
2026-01-20,-6527.627738691284,-15.117466372979223,88.82900645837252
2026-01-21,-6905.056155867263,-15.243391114321426,88.09010087731846
2026-01-22,-5600.251692464102,-17.220069673426657,87.41306335677557
2026-01-23,-6716.142917229357,-17.423361899486153,85.23180757106076
2026-01-27,-4831.835435786648,-29.125925617264606,74.67313722692691
2026-01-28,-7933.833788622796,-15.216894441042342,89.29085003693321
2026-01-29,-8021.646630926669,-15.029884502742938,90.16384894113241
2026-01-30,-7858.349906318821,-16.38148924199748,87.92952000670158
2026-02-01,-9389.831477707528,-11.432887260819115,89.94013829084271
2026-02-02,-9240.000867812647,-14.623698253570922,87.38673763226468
2026-02-03,-6006.318318039899,-12.069989053236192,97.53937981174565
2026-02-04,-6385.386928654811,-11.86456475368604,99.06216297614866
2026-02-05,-6415.207947354771,-16.427273895505216,92.17483301937361
2026-02-06,-7521.186840588991,-14.39739959373884,94.86294334447729
