Date,PnL,Stock_Pos,Hedge_Opt_Pos
2025-11-26,-4.082094408066041,0.24165822128031778,111.14475634722208
2025-11-27,1601.7487527505873,1.1942827032517513,112.8317929424576
2025-11-28,-6207.121597823112,-2.8015893878316724,108.3294176676787
2025-12-01,-5101.485695705076,-2.2950400700866638,108.76839467554686
2025-12-02,-5368.720896325518,-2.9425906249692133,107.80517927897768
2025-12-03,-5215.183696375738,-3.042087067934922,107.44525807029297
2025-12-04,-5935.638639330442,-3.3154437872449307,107.51615811841674
2025-12-05,-5666.925129098097,-2.5933774843040887,109.72989919042253
2025-12-08,-5135.34381633934,-3.181812839876578,107.23369688358537
2025-12-09,-5332.7135470238645,-3.9511047099666285,106.10243219627078
2025-12-10,-5385.94935845444,-4.462427066895721,104.91740757760931
2025-12-11,-5366.1748884955305,-3.7128903250201333,106.95662493398001
2025-12-12,-5730.038121128378,-3.2445720267272904,108.49745577972564
2025-12-15,-5853.893768139929,-3.4679135727509234,108.3184004874987
2025-12-16,-5446.540170246135,-4.161523123084045,106.80864768638521
2025-12-17,-5459.459241344524,-4.486091480157569,106.29801657981855
2025-12-18,-5464.414791816729,-4.5585312070397634,106.33182417828117
2025-12-19,-5812.485540134669,-3.860356188616535,108.30098946004783
2025-12-22,-6192.240373099747,-3.0773178537309285,110.92424447376875
2025-12-23,-6300.793355393453,-3.1634631863648295,111.7915642342543
2025-12-24,-6594.673838265517,-3.5701042552105697,111.05140863888506
2025-12-26,-6628.244609874015,-4.200519680306549,109.23890265178613
2025-12-29,-6520.0326876096005,-4.846996018271547,107.34368795855589
2025-12-30,-6316.730724566369,-4.776051190455014,107.73585669818267
2025-12-31,-6609.697395297237,-3.717349284937388,110.76692931687836
2026-01-01,-6704.102499894179,-3.709904883637666,111.05571781406846
2026-01-02,-6656.923269028895,-2.7249991631297306,113.5817993847663
2026-01-05,-6834.688630140601,-3.2471159714447353,111.77988676180452
2026-01-06,-6585.520201522377,-3.4576104886306958,111.23675778097558
2026-01-07,-6768.226348645552,-3.8379508291922306,110.71340330775963
2026-01-08,-6707.563711143746,-5.700816983658299,105.55144163230774
2026-01-09,-6814.03361671196,-7.751522309541095,101.36794167673017
2026-01-12,-6920.3534775358785,-6.802974225210718,103.47672682572072
2026-01-13,-7256.599634571641,-7.643474615748438,101.59850134852266
2026-01-14,-7122.583705641198,-8.37371803342333,100.26789458344955
2026-01-16,-7099.692426381596,-8.434332764665328,100.88908953880656
2026-01-19,-7418.579010060581,-9.765299642332046,97.6509245964092
2026-01-20,-7233.537208675261,-14.493251197095006,89.7710437679031
2026-01-21,-7601.42304285962,-15.02330580686003,88.40927291563172
2026-01-22,-6298.431647118523,-15.29652802289526,90.36554654567925
2026-01-23,-7324.611597189738,-17.178529518563984,85.56439375111506
2026-01-27,-5440.434639625819,-24.779549667853637,80.62742821536061
2026-01-28,-8297.307399227058,-14.661150405947915,90.15639922392077
2026-01-29,-8395.798762704908,-14.497582496486267,91.02629819417021
2026-01-30,-8217.475122241303,-15.580022306039147,89.14829245674161
2026-02-01,-9593.756011497811,-13.541921642555977,87.23165768242853
2026-02-02,-9261.426724763267,-16.903140191372508,84.37100719990579
2026-02-03,-6133.277822709908,-11.588947106726451,98.53874404065192
2026-02-04,-6525.925359403998,-11.726868415139812,99.36430257322593
2026-02-05,-6559.5051372712915,-16.045124290089262,92.88387019644571
2026-02-06,-7659.640523772774,-15.23486045395881,93.22054014627439
