Date,Strategy,PnL,Stock_Pos,Hedge_Opt_Pos
2025-11-26,Delta-Gamma,-9.8985120939833,-2.7239245584919054,107.52371693259043
2025-11-27,Delta-Gamma,-15.490797583584936,-2.742340066973707,108.22364343090486
2025-11-28,Delta-Gamma,-31.15585154835935,-2.808916599167894,108.32218311525148
2025-12-01,Delta-Gamma,-76.80601438718804,-2.950655041016649,108.04389861247533
2025-12-02,Delta-Gamma,-123.38591837334388,-3.5530362105916637,106.97455312413311
2025-12-03,Delta-Gamma,-141.16255198395083,-3.770767825736108,106.38301810564208
2025-12-04,Delta-Gamma,-158.80168344035337,-3.6146654422605096,107.11443378847055
2025-12-05,Delta-Gamma,-170.24426709547333,-3.050274629990497,109.301615425396
2025-12-08,Delta-Gamma,-208.66645377456734,-4.02084301947567,105.95119868988807
2025-12-09,Delta-Gamma,-260.2615437730492,-4.787992057136634,104.69260226528587
2025-12-10,Delta-Gamma,-286.54782689181593,-5.287298722136242,103.43645156925311
2025-12-11,Delta-Gamma,-307.0277637091858,-4.5685849164731,105.5894962428433
2025-12-12,Delta-Gamma,-337.10186228303064,-3.8354300062231843,107.72223584394362
2025-12-15,Delta-Gamma,-400.52871213228354,-4.041446237317821,107.53992360226083
2025-12-16,Delta-Gamma,-467.54427275418857,-5.125826598507537,105.21414192350979
2025-12-17,Delta-Gamma,-499.6871681152261,-5.496311695730057,104.5670343381328
2025-12-18,Delta-Gamma,-525.8628641634859,-5.602613791142652,104.53827538294098
2025-12-19,Delta-Gamma,-565.7360333069082,-4.637607039811186,107.1695707533055
2025-12-22,Delta-Gamma,-662.0758034924111,-3.5718335600086384,110.46852466178524
2025-12-23,Delta-Gamma,-672.1986771217489,-3.6147578908883986,111.42940359988991
2025-12-24,Delta-Gamma,-692.4696592142827,-3.834758456142932,110.80564304275369
2025-12-26,Delta-Gamma,-747.0352274366742,-4.499408644689332,108.86139820701145
2025-12-29,Delta-Gamma,-818.7062523657332,-5.295613439073811,106.65612312335496
2025-12-30,Delta-Gamma,-845.1104891049981,-5.421412878644006,106.74505303103639
2025-12-31,Delta-Gamma,-916.8124861883334,-4.121924465389288,110.34187107129655
2026-01-01,Delta-Gamma,-937.2455330620614,-4.056801021214483,110.71156314862216
2026-01-02,Delta-Gamma,-1005.5294678522187,-3.102222269830282,113.46973324305449
2026-01-05,Delta-Gamma,-1050.3000979773715,-3.5461188199228353,111.55404210549239
2026-01-06,Delta-Gamma,-1080.9526386900616,-3.992833884040575,110.70716335126573
2026-01-07,Delta-Gamma,-1107.300744860615,-4.279418236390676,110.23136644741363
2026-01-08,Delta-Gamma,-1148.462402945952,-6.2723118894307675,104.56966128600232
2026-01-09,Delta-Gamma,-1219.765426826445,-8.309095533253355,100.26874161391727
2026-01-12,Delta-Gamma,-1345.3632721235554,-7.383909671195852,102.39782816490039
2026-01-13,Delta-Gamma,-1380.728920968104,-7.972309472440948,100.96234141880727
2026-01-14,Delta-Gamma,-1425.590413094782,-8.839089781645534,99.32942426647857
2026-01-16,Delta-Gamma,-1503.5888067466003,-9.018756458033117,99.7277434490071
2026-01-19,Delta-Gamma,-1602.1492189499331,-10.105141913627968,96.92240776908001
2026-01-20,Delta-Gamma,-1579.033353934603,-14.654270169352579,89.13275748425849
2026-01-21,Delta-Gamma,-1631.1831145915203,-15.046577474453315,88.23058022824816
2026-01-22,Delta-Gamma,-1652.5585214271996,-15.899467712450047,88.25253397455835
2026-01-23,Delta-Gamma,-1581.1349423436332,-17.129166838638874,85.46680734622483
2026-01-27,Delta-Gamma,-2040.8689303780411,-23.823879332609536,78.96683045607787
2026-01-28,Delta-Gamma,-2670.281953843667,-14.866715283349329,89.50194963514423
2026-01-29,Delta-Gamma,-2726.101494913899,-14.760216444793478,90.3068351743917
2026-01-30,Delta-Gamma,-2770.4480167440925,-15.811189489712767,88.29709897305344
2026-02-01,Delta-Gamma,-2261.1181151842175,-14.60842203327256,87.24051463579232
2026-02-02,Delta-Gamma,-2274.8005071612715,-17.588589269243464,84.96204399536175
2026-02-03,Delta-Gamma,-1672.489457442658,-12.081551758893639,97.54082326612546
2026-02-04,Delta-Gamma,-1707.948895425543,-11.87924483076467,99.06689298663846
2026-02-05,Delta-Gamma,-1911.7617960028438,-16.362133037988883,92.18910339111517
2026-02-06,Delta-Gamma,-2026.1368455342817,-14.453653988531634,94.85964611264761
